uniqueid,regas,season,internat,episode,airdate,nickname,specialformat,numqueens,win1,win2,high1,high2,safe1,safe2,safe3,safe4,safe5,safe6,safe7,safe8,safe9,bottom1,bottom2,bottom3,bottom4,bottom5,bottom6,bottom7,eliminated1,eliminated2
23,reg,2,UK,6,2021-02-18,Snatch Game,0,7,Bimini Bon-Boulash,N/A,Tayce,N/A,Ellie Diamond,A’Whora,Sister Sister,N/A,N/A,N/A,N/A,N/A,N/A,Lawrence Chaney,N/A,N/A,N/A,N/A,N/A,N/A,Tia Kofi,N/A
24,reg,3,UK,6,2021-10-28,Snatch Game,0,7,Ella Vaday,N/A,Kitty Scott-Claus,N/A,Vanity Milan,Scarlett Harlett,Krystal Versace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Choriza May,River Medway
25,reg,4,UK,6,2022-10-27,Strictly Come Snatch Game,0,7,Cheddar Gorgeous,N/A,Jonbers Blonde,N/A,Danny Beard,Pixie Polite,Dakota Schiffer,N/A,N/A,N/A,N/A,N/A,N/A,Black Peppa,N/A,N/A,N/A,N/A,N/A,N/A,Le Fil,N/A
26,reg,5,UK,6,2023-11-02,Snatch Game,0,7,Ginger Johnson,N/A,Tomara Thomas,N/A,Michael Marouli,Kate Butch,Cara Melle,N/A,N/A,N/A,N/A,N/A,N/A,DeDeLicious,N/A,N/A,N/A,N/A,N/A,N/A,Vicki Vivacious,N/A
27,reg,1,CAN,5,2020-07-30,Snatch Game,0,8,Jimbo,N/A,Rita Baga,Lemon,Scarlett BoBo,Ilona Verley,BOA,N/A,N/A,N/A,N/A,N/A,N/A,Priyanka,N/A,N/A,N/A,N/A,N/A,N/A,Kiara,N/A
28,reg,2,CAN,4,2021-11-04,Snatch Game,0,9,Synthia Kiss,N/A,Kimora Amour,Pythia,Kendall Gender,Pythia,Gia Metric,Adriana,Icesis Couture,N/A,N/A,N/A,N/A,Eve 6000,N/A,N/A,N/A,N/A,N/A,N/A,Suki Doll,N/A
29,reg,3,CAN,5,2022-08-11,Snatch Game,0,8,Giséle Lullaby,N/A,Vivian Vanderpuss,Irma Gerd,Miss Fiercalicious,Jada Shada Hudson,Bombae,N/A,N/A,N/A,N/A,N/A,N/A,Kimmy Couture,N/A,N/A,N/A,N/A,N/A,N/A,Lady Boom Boom,N/A
30,reg,4,CAN,5,2023-12-14,Snatch Game,0,9,Melinda Verga,N/A,Venus,Kitten Kaboodle,Nearah Nuff,Denim,Kiki Coe,Aimee Yonce Shennel,N/A,N/A,N/A,N/A,N/A,Aurora Matrix,N/A,N/A,N/A,N/A,N/A,N/A,Luna DuBois,N/A
31,reg,1,AUS,2,2021-05-08,Snatch Game,0,9,Anita Wigl’it,N/A,N/A,N/A,Karen from Finance,Scarlet Adams,Elektra Shock,Maxi Shield,Etcetera Etcetera,Kita Mean,N/A,N/A,N/A,Coco Jumbo,N/A,N/A,N/A,N/A,N/A,N/A,Art Simone,N/A
32,reg,2,AUS,4,2022-08-20,Snatch Game,0,7,Hanna Conda,N/A,Spankie Jackzon,Yuri Guaii,Kween Kong,Molly Poppinz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Beverly Kills,N/A,N/A,N/A,N/A,N/A,N/A,Minnie Cooper,N/A
33,reg,3,AUS,4,2023-08-18,Snatch Game,0,7,Ashley Madison,N/A,Isis Avis Loren,N/A,Gabriella Labucci,Hollywould Star,Bumpa Love,N/A,N/A,N/A,N/A,N/A,N/A,Flor,N/A,N/A,N/A,N/A,N/A,N/A,Rita Menu,N/A
