Table 1,,,
uniqueid,dq,character1,character2
13,Amethyst,"Patricia ""Tan Mom"" Krentcil",N/A
13,Aura Mayari,Bretman Rock,N/A
13,Jax,Mona Lisa,N/A
13,Loosey LaDuca,Joan Rivers,N/A
13,Sasha Colby,Jan Crouch,N/A
13,Sugar,Trisha Paytas,N/A
13,Spice,Miley Cyrus,N/A
14,Raven,Bea Arthur,N/A
14,Jujubee,Fran Drescher,N/A
14,Nina Flowers,La Lupe,N/A
14,Tammie Brown,Tammy Faye,N/A
14,Manila Luzon,Madonna,N/A
14,Latrice Royale,Oprah Winfrey,N/A
14,Alexis Mateo,Shakira,N/A
14,Yara Sofia,Charo,N/A
14,Shannel,Lucille Ball,N/A
14,Chad Michaels,Bette Davis,N/A
15,Alaska,Mae West,N/A
15,Alyssa Edwards,Joan Crawford,N/A
15,Detox,Nancy Grace,N/A
15,Ginger Minj,Tammy Faye,N/A
15,Katya,Björk,N/A
15,Phi Phi O'Hara,Theresa Caputo,N/A
15,Roxxxy Andrews,Alaska,N/A
15,Tatianna,Ariana Grande,N/A
16,Aja,Crystal LaBeija,N/A
16,BeBe Zahara Benet,Grace Jones,N/A
16,BenDeLaCreme,Paul Lynde,N/A
16,Chi Chi DeVayne,Maya Angelou,N/A
16,Kennedy Davenport,Phaedra Parks,N/A
16,Shangela,Jenifer Lewis,N/A
16,Trixie Mattel,RuPaul,N/A
17,Monét X Change,Whitney Houston,N/A
17,Naomi Smalls,Wendy Williams,N/A
17,Trinity The Tuck,Caitlyn Jenner,N/A
17,Valentina,Eartha Kitt,N/A
17,Gia Gunn,Jenny Bui,N/A
17,Latrice Royale,Della Reese,N/A
17,Manila Luzon,Barbra Streisand,N/A
17,Monique Heart,Tiffany Haddish,N/A
18,Alexis Mateo,Walter Mercado,N/A
18,India Ferrah,Jeffree Star,N/A
18,Miz Cracker,Lady Gaga,N/A
18,Blair St. Clair,Ellen DeGeneres,N/A
18,Jujubee,Eartha Kitt,N/A
18,Shea Couleé,Flavor Flav,N/A
19,Ginger Minj,Phyllis Diller,N/A
19,Kylie Sonique Love,Dolly Parton,N/A
19,Trinity K. Bonet,Whitney Houston,N/A
19,Eureka,Divine,N/A
19,Pandora Boxx,Kim Cattrall,N/A
19,Ra'Jah O'Hara,La Toya Jackson,N/A
20,Jaida Essence Hall,Prince,The Lady Chablis
20,Jinkx Monsoon,Natasha Lyonne,Judy Garland
20,Monét X Change,Mike Tyson,Martin Lawrence
20,Raja,Madame,Diana Vreeland
20,Shea Couleé,Elsa Majimbo,Miss J.
20,Trinity The Tuck,Satan,Leslie Jordan
20,The Vivienne,Joanna Lumley,Catherine Tate
20,Yvie Oddly,Rico Nasty,The Boogieman
21,Heidi N Closet,Blackbeard,N/A
21,Jaymes Mansfield,Jennifer Coolidge,N/A
21,Jessica Wild,Iris Chacón,N/A
21,Kahanna Montrese,Coco Montrese,N/A
21,Alexis Michelle,Bea Arthur,N/A
21,Jimbo,Shirley Temple,N/A
21,Kandy Muse,Renee Graziano,N/A
21,LaLa Ri,Sukihana,N/A
22,Baga Chipz,Margaret Thatcher,N/A
22,Blu Hydrangea,Mary Berry,N/A
22,Cheryl Hole,Gemma Collins,N/A
22,Crystal,Rue McClanahan,N/A
22,Divina De Campo,Julia Child,N/A
22,Sum Ting Wong,Sir David Attenborough,N/A
22,The Vivienne,Donald Trump,N/A
23,A'Whora,Louie Spence,N/A
23,Bimini ,Katie Price,N/A
23,Ellie Diamond,Matt Lucas,N/A
23,Lawrence Chaney,Miriam Margolyes,N/A
23,Sister Sister,Sally Morgan,N/A
23,Tayce,Jane Turner,N/A
23,Tia Kofi,Mel B,N/A
24,Choriza Ma,Margarita Pracatan,N/A
24,Ella Vaday,Nigella Lawson,N/A
24,Kitty Scott-Claus,Gemma Collins,N/A
24,Krystal Versace,Selina Mosinski,N/A
24,River Medway,Amy Childs,N/A
24,Scarlett Harlett,Macaulay Culkin,N/A
24,Vanity Milan,Jocelyn Jee Esien,N/A
25,Black Peppa,Lil Nas X,N/A
25,Cheddar Gorgeous,Queen Elizabeth I,N/A
25,Dakota Schiffer,Pete Burns,N/A
25,Danny Beard,Cilla Black,N/A
25,Jonbers Blonde,Saint Patty,N/A
25,Le Fil,Marie Kondo,N/A
25,Pixie Polite,Dame Shirley Bassey,N/A
26,Cara Melle,Dionne Warwick,N/A
26,DeDeLicious,Lady Colin Campbell,N/A
26,Ginger Johnson,Dame Barbara Cartland,N/A
26,Kate Butch,Kate Bush,N/A
26,Michael Marouli,Catherine Tate,N/A
26,Tomara Thomas,Robin Williams,N/A
26,Vicki Vivacious,Fanny Cradock,N/A
27,BOA,Gypsy Rose Blanchard,N/A
27,Ilona Verley,Rebecca More,N/A
27,Jimbo,Joan Rivers,N/A
27,Kiara,Mariah Carey,N/A
27,Lemon,JoJo Siwa,N/A
27,Priyanka,Miss Cleo,N/A
27,Rita Baga,Édith Piaf,N/A
27,Scarlett BoBo,Liza Minnelli,N/A
28,Adriana,Sofía Vergara,N/A
28,Eve 6000,Bernie Sanders,N/A
28,Gia Metric,Jim Carrey,N/A
28,Icesis Couture,La Veneno,N/A
28,Kendall Gender,Kris Jenner,N/A
28,Kimora Amour,Leslie Jones,N/A
28,Pythia,Grimes,N/A
28,Suki Doll,Yoko Ono,N/A
28,Synthia Kiss,Rachel Zoe,N/A
29,Bombae,Aziz Ansari,N/A
29,Gisèle Lullaby,Marie Curie,N/A
29,Irma Gerd,Marilyn Monroe,N/A
29,Jada Shada Hudson,Saucy Santana,N/A
29,Kimmy Couture,Ariana Grande,N/A
29,Lady Boom Boom,Mado Lamotte,N/A
29,Miss Fiercalicious,Kourtney Kardashian,N/A
29,Vivian Vanderpuss,Tammy Faye Messner,N/A
30,Aimee Yonce Shennel,Jesus Christ,N/A
30,Aurora Matrix,Zhao Bing,N/A
30,Denim,Julia Fox,N/A
30,Kiki Coe,Elizabeth Taylor,N/A
30,Kitten Kaboodle,Jennifer Coolidge,N/A
30,Luna DuBois,Mary Cosby,N/A
30,Melinda Verga,Manny Pacquiao,N/A
30,Nearah Nuff,Jennifer Coolidge,N/A
30,Venus,Joe Exotic,N/A
31,Anita Wigl'it,Elizabeth II,N/A
31,Art Simone,Bindi Irwin,N/A
31,Coco Jumbo,Lizzo,N/A
31,Elektra Shock,Catherine O'Hara,N/A
31,Etcetera Etcetera,Lindy Chamberlain-Creighton,N/A
31,Karen from Finance,Dolly Parton,N/A
31,Kita Mean,Dr. Seuss,N/A
31,Maxi Shield,Magda Szubanski,N/A
31,Scarlet Adams,Jennifer Coolidge,N/A
32,Beverly Kills,Val Garland,N/A
32,Hannah Conda,Liza Minnelli,N/A
32,Kween Kong,NeNe Leakes,N/A
32,Minnie Cooper,Ellen DeGeneres,N/A
32,Molly Poppinz,Orville Peck,N/A
32,Spankie Jackzon,Dame Edna Everage,N/A
32,Yuri Guaii,Courtney Love,N/A
33,Ashley Madison,Jesus Christ,N/A
33,Bumpa Love,Kiri Te Kanawa,N/A
33,Flor,Charo,N/A
33,Gabriella Labucci,Emma Watkins,N/A
33,Hollywould Star,Naomi Campbell,N/A
33,Isis Avis Loren,Donatella Versace,N/A
33,Rita Menu,Cardi B,N/A
34,Baga Chipz,Kathy Bates,N/A
34,Pangina Heals,Mariah Carey,N/A
34,Jujubee,Cher,N/A
34,Janey Jacké,James Charles,N/A
34,Blu Hydrangea,Mike Myers,N/A
34,Monique Heart,Billy Porter,N/A
